mode,metric,als_baseline,basic_similar_users,brand_similar_users
default,precision@k,0.16709108716944174,0.11704211557296768,0.12566111655239962
default,map@k,0.2901465066927849,0.2778886440309066,0.28839781260202413
default (bm25),precision@k,0.2014691478942214,0.08658178256611167,0.10009794319294808
default (bm25),map@k,0.3577177875720971,0.19986804875394493,0.22463543367069322
mixed top5k,precision@k,0.20744368266405486,0.11851126346718903,0.11439764936336926
mixed top5k,map@k,0.3459686853846991,0.28737825116987703,0.2856050712808793
mixed top5k (bm25),precision@k,0.22262487757100882,0.09059745347698335,0.09569049951028404
mixed top5k (bm25),map@k,0.4265664109261073,0.19999183806725432,0.21774812275546848
