mode,metric,als_baseline,basic_similar_items,brand_similar_items,basic_similar_users,brand_similar_users,basic_nearest_user_k_items,brand_nearest_user_k_items
default,precision@k,0.1734573947110676,0.11459353574926542,0.09951028403525955,0.11302644466209599,0.12252693437806073,0.04642507345739472,0.04642507345739472
default,map@k,0.3087108227228208,0.1764256175862444,0.17191478942213517,0.278724561976276,0.2815615137664599,0.20964740450538685,0.20964740450538685
mixed top5k,precision@k,0.21596474045053868,0.12350636630754165,0.09843290891283056,0.12203721841332027,0.11821743388834477,0.12683643486777668,0.12683643486777668
mixed top5k,map@k,0.3740185275873327,0.2684888181521384,0.1985941070845576,0.2911068941125258,0.28727010556099686,0.27270921754271416,0.23252122102513875
