mode,metric,als_baseline,basic_similar_items,brand_similar_items
default,precision@k,0.16709108716944174,0.11136141038197844,0.07649363369245837
default,map@k,0.2901465066927849,0.1890854554358472,0.13315581129611492
default (bm25),precision@k,0.2014691478942214,0.13055827619980412,0.08521057786483839
default (bm25),map@k,0.3577177875720971,0.29616185112634674,0.18784552181956687
mixed top5k,precision@k,0.20744368266405486,0.12223310479921645,0.06287952987267385
mixed top5k,map@k,0.3459686853846991,0.26392017629774733,0.11223065621939274
mixed top5k (bm25),precision@k,0.22262487757100882,0.10127326150832518,0.07766895200783545
mixed top5k (bm25),map@k,0.4265664109261073,0.18774009685493526,0.1584496408749592
