,user_id,random,most_popular,weighted_random,random_from_top,weighted_random_from_top,item_knn,cosine,tfidf,own_purchases,bm25
precision@k,1257.9309500489717,0.0004897159647404506,0.15523996082272282,0.01939275220372184,0.0002938295788442704,0.04417238001958864,0.15494613124387857,0.15426052889324196,0.15827619980411364,0.2190009794319295,0.12037218413320275
map@k,1257.9309500489717,0.0009549461312438785,0.25681113287626506,0.046016976820111,0.0010773751224289912,0.10198334965719882,0.38570097399064096,0.38303338230492984,0.3848568941125258,0.41806303732723904,0.21976071933833932
NDCG@k,1257.9309500489717,0.24567803247386982,0.23539101382028438,0.24586138177466316,0.24556872650449546,0.24462361154565065,0.24202021511071298,0.24363822284145586,0.2428220090479829,0.24149197879287457,0.24459258922899033
