,user_id,random,most_popular,weighted_random,random_from_top,weighted_random_from_top,item_knn,cosine,tfidf,own_purchases,bm25
precision@k,1257.9309500489717,0.0004897159647404506,0.15523996082272282,0.01723800195886386,0.0009794319294809011,0.04005876591576886,0.15102840352595492,0.1551420176297747,0.16092066601371205,0.2190009794319295,0.1258570029382958
map@k,1257.9309500489717,0.000791707476330395,0.25681113287626506,0.04333986287952987,0.0017997061704211556,0.08953504189792141,0.38825633910109913,0.38445763956904994,0.38539082054630536,0.41806303732723904,0.22464835673087388
NDCG@k,1257.9309500489717,0.24452696502337387,0.23539101382028438,0.24583414248757973,0.24397519965156092,0.2452844838231937,0.2447408322648182,0.24293686978551982,0.24323796299881656,0.24149197879287457,0.2451132625029731
